PageID,NPC,Text,Button1,Next1,Button2,Next2,Button3,Next3,Button4,Next4,Action,ActionData,Condition
0305,Guard,A troll. If you defeat it only then you can reach the entrance. But that's anything I could tell you. Have a fun time here!,Bye,0307,,,,,,,NEXT_SCAN,,
0306,Guard,Then I have nothing more to tell you.,Bye,0307,,,,,,,NEXT_SCAN,,
0307,Guard,Hi! Keep on exploring!,Bye,0307,,,,,,,NEXT_SCAN,,
0308,Guard,Choose an item from your inventory.,Choose Item,0310,,,,,,,DROPDOWN_INVENTORY,Golden Medal-0310;Other-0309,
0309,Guard,I don't need this.,OK,0307,,,,,,,NEXT_SCAN,,
0310,Guard,Oh my medal! Thank you for giving it back. For this I'll give you the Mark of Goblins. Goblins will be friendlier if you show them. Now thank you again!!!,Bye,0307,,,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Golden Medal;Mark of Goblins,
0401,Talking Tree,Hello Human! What are you seeking here?,You can TALK??,0402,Just rumours about people,0403,,,,,,,
0402,Talking Tree,I'm pleased you asked although I won't share...,OK,0404,Bye,0407,,,,,NEXT_SCAN,,
0403,Talking Tree,I know things about people. I can tell you things. Who are you interested in?,Messenger,0405,Warrior,0406,,,,,,,
0404,Talking Tree,I'll soon go asleep for like 20 mins maybe. After that we can talk again.,Bye,0408,,,,,,,NEXT_SCAN;START_TIMER,20 minutes,
0405,Talking Tree,That guy really has a sweet tooth. Also he hates running surprisingly! Now I'm going to sleep.,OK,0408,,,,,,,NEXT_SCAN,,
0406,Talking Tree,That one is a mighty fighter and can only be defeated with the Sword of Koji. Now I shall rest.,OK,0408,,,,,,,NEXT_SCAN,,
0407,Talking Tree,At least I can give you this magic branch that will help you on your mission. I insist. Now I'm going to rest.,OK,0408,,,,,,,NEXT_SCAN;ADD_ITEM,Magic Branch,
0408,Talking Tree,The tree is asleep.,OK,0408,,,,,,,NEXT_SCAN,,
0409,Talking Tree,Hello again. I remember you were so surprised to see a wonderful tree like me. Because of that I give you the Horn of Trees. If you blow it I will wake up from my dream. And now how can I help you?,Some info,0403,I don't know,0407,,,,,ADD_ITEM,Horn of Trees,
0410,Talking Tree,Hello again. I can tell you things about some people.,Okay,0403,No,0408,,,,,,,
0501,Hunter,Greetings traveler! I'm on a hurry but I can give you a few minutes.,Why are you hurrying?,0502,Who are you,0503,,,,,,,
0502,Hunter,I'm always in a hurry hunting for the unique species that are attracted to this grove.,Why are they attracted?,0504,Who are you?,0503,,,,,,,
0503,Hunter,I am the hunter who hunts for the species hidden in this special grove!,Why is this grove special?,0504,Can I ask a question?,0505,,,,,,,
0504,Hunter,"I don't know, but I swear there is something magical hidden in this grove. You should check the trees! And now I gotta go!",Bye,0507,,,,,,,NEXT_SCAN;START_TIMER,5 minutes,
0505,Hunter,"Yes, but I might not know the answer.",How to get in to the castle?,0504,Where is the Sword?,0504,,,,,,,
0506,Hunter,"Hello again! I'm chasing a Pina Coala, I've got no time, but I saw something shiny between the fountains stones.",Bye,0507,,,,,,,NEXT_SCAN;START_TIMER,5 minutes,
0507,Hunter,"Hello adventurer! I'm back from my hunt and now I can answer a few questions, but first...",Go on,0509,,,,,,,,,
0508,Hunter,The hunter is nowhere to be seen.,OK,0508,,,,,,,NEXT_SCAN,,
0509,Hunter,Do you see the little footprints? That creature is better at hiding than anything else I've ever seen before. He might be hiding in one of the bushy places where I can't fit in!,Go on,0510,,,,,,,,,
0510,Hunter,But now let's see your questions.,Have you seen anything strange?,0511,Do you know someone here?,0512,,,,,,,
0511,Hunter,"Well, at the bridge I saw strange carvings in the stone, but nothing else.",Thanks,0514,,,,,,,,,
0512,Hunter,Well have you seen the city guard? He is a friend of mine. He will tell you things about this little empire!,OK,0513,,,,,,,,,
0513,Hunter,Also could you please give this golden medal to the guard? He might give you something in exchange.,That's it?,0514,,,,,,,ADD_ITEM,Golden Medal,
0514,Hunter,"Okay and... Do you hear those wolves? This is the night of the blood moon, I shall go hunting, this is the time for the best prey!",Bye,0508,,,,,,,NEXT_SCAN,,
0601,Goblin,Hello who are you? I'm the goblin living in the forest. I'm glad we met.,Hello!,0602,Do you have items?,0603,Look what I have,0604,,,,Mark of Goblins,HAS_ITEM
0602,Goblin,Hello come with me! Let me show you my collection!,Maybe next time,0605,OK,0606,,,,,NEXT_SCAN,,
0603,Goblin,Yesss. Definitely. I have a collection of rare items I'm pretty proud of!,Next time I'll see,0605,Show me,0606,,,,,NEXT_SCAN,,
0604,Goblin,Oh you've got the mark of goblins. Let me gift you something my friend!,Thank you!,0608,,,,,,,ADD_ITEM,Gold Coin,
0605,Goblin,Hi again! May I show you my collection this time?,Next time,0605,Yes,0606,,,,,NEXT_SCAN,,
0606,Goblin,Here! Look what I've collected! If you want one just say!,Gold Coin,0607,Ruby Sword,0609,Powder,0610,I don't need more,0616,,,
0607,Goblin,This is a Gold Coin I found in the forest. I would trade it for something from a rare animal like a bird.,Ok bye,0605,I have that,0611,Let me see the other items,0606,,,NEXT_SCAN,,
0608,Goblin,Here take this Gold Coin I found. This treasure looks especially good.,Thx bye,0605,Do you have something else,0606,,,,,NEXT_SCAN;ADD_ITEM,Gold Coin,
0609,Goblin,This ruby sword was down in the bottom of the river. I saw its ruby and I had to have it. If you want it give me some other gem.,Ok bye,0605,I have that,0611,Let me see the other items,0606,,,NEXT_SCAN,,
0610,Goblin,Hey I've found this powder in a leather sack and I thought it was really strange so I kept it. I would trade it for a shinier jewel.,Ok bye,0605,I have that,0611,Let me see the other items,0606,,,NEXT_SCAN,,
0611,Goblin,Show me!,Choose Item,0612,,,,,,,DROPDOWN_INVENTORY,Silver Ring-0612;Crystal Shard-0613;Priclys Feather-0614;Other-0615,
0612,Goblin,"Here is the strange powder. I like shinies, human, like dust... It's good for goblins!",OK,0605,,,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Silver Ring;Strange Powder,
0613,Goblin,Here is the ruby sword. I like crystal shard better: It's shinier.,OK,0605,,,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Crystal Shard;Ruby Sword,
0614,Goblin,Here is the gold coin. Feather might be trash for humans but treasure for goblins!,OK,0605,,,,,,,NEXT_SCAN;REMOVE_ITEM;ADD_ITEM,Priclys Feather;Gold Coin,
0615,Goblin,I don't need THAT!,OK,0605,,,,,,,NEXT_SCAN,,
0616,Goblin,Can I give you one more gift for being my great trader mate? Here is the Staff of Goblin. This means you are the great friend of goblins.,Thx,0617,,,,,,,ADD_ITEM,Staff of Goblin,
0617,Goblin,Now I'm leaving because all treasure here is inside my pockets!,Bye,0618,,,,,,,NEXT_SCAN,,
0618,Goblin,The goblin has left with all their valuables.,OK,0618,,,,,,,NEXT_SCAN,,
0701,Troll,You try cross bridge?,Yes,0702,No,0703,What??,0704,,,,,
0702,Troll,You first solve me riddle!,OK,0705,,,,,,,,,
0703,Troll,You can no cross if no riddle solve. I tell you riddle.,Tell me,0705,Let me try,0701,,,,,,,
0704,Troll,You stupid,OK,0701,,,,,,,NEXT_SCAN,,
0705,Troll,"First 5 letter: O, T, T, F, F, S... Whats next 2?",DROPDOWN,0706,,,,,,,DROPDOWN_CHOICE,SE-0706;EF-0704;ST-0704;TS-0704;ET-0704;FS-0704,
0706,Troll,You smart! Here bridge key. Now go!,OK,0707,,,,,,,NEXT_SCAN;ADD_ITEM,Bridge Key,
0707,Troll,The Troll sits at the edge of the bridge and does not care about you.,OK,0707,,,,,,,NEXT_SCAN,,
0801,Fisherman,Hello! What are you doing at the river?,Just exploring,0803,Searching for the bridge,0802,,,,,,,
0802,Fisherman,Well you walk a few meters it's right there. Turn right from here but before with the troll also could you help me with something?,Of course,0804,Not now,0805,,,,,,,
0803,Fisherman,You should go to the river. The troll is stopping you but his riddle is not that hard.,Okay I'll go,0805,What are you doing here,0806,,,,,,,
0804,Fisherman,Here is a fishing rod. Take it and throw it in. Try catching great salmon. They usually come after 20-25 seconds.,Okay,0807,What about a blobfish,0817,,,,,NEXT_SCAN;ADD_ITEM;START_QUEST,Fishing Rod;Get Great Salmon,
0805,Fisherman,Then I'll see you next time.,OK,0808,,,,,,,NEXT_SCAN,,
0806,Fisherman,I'm fishing patiently trying catching a great salmon but I can only find small fish in this muddy river.,Can I help you,0804,That is sad,0809,,,,,,,
0807,Fisherman,Do you have the great salmon?,Yes,0810,No,0811,,,,,,,
0808,Fisherman,Hello what brought you here?,Just exploring,0803,I wanna help you,0804,,,,,,,
0809,Fisherman,I can do nothing with. Try again. Can you help me in catching the prey?,Yes,0804,No,0805,,,,,,,
0810,Fisherman,Then give it to me.,Choose Item,0812,,,,,,,DROPDOWN_INVENTORY,Great Salmon-0812;Other-0813,
0811,Fisherman,Have them next time!,Okay,0807,,,,,,,NEXT_SCAN,,
0812,Fisherman,"In return I can tell you that the Troll's ""o"" means ""one"".",Thanks,0814,Can I help you?,0815,,,,,REMOVE_ITEM,Great Salmon,
0813,Fisherman,That's not the great salmon.,Okay,0811,,,,,,,NEXT_SCAN,,
0814,Fisherman,Bye bye. Now do not disturb me again in fishing!,Okay,0816,,,,,,,NEXT_SCAN,,
0815,Fisherman,Well... if you could give this to the messenger... and return of a favor please give these fish to him. He might tell you something.,I'll give it to him,0814,,,,,,,ADD_ITEM;START_QUEST,Fish;Give Fish to Messenger,
0816,Fisherman,"The fisherman waves at you and then puts the finger in front of his mouth ""shh"". You can't talk to him right now.",Okay,0816,,,,,,,NEXT_SCAN,,
0817,Fisherman,Blobfish usually catch after 12-15 seconds.,Okay thanks,0807,,,,,,,NEXT_SCAN,,
0901,Messenger,Hi I am the messenger. I'm always walking around delivering messages to various people.,Why not running?,0902,Can I give you something?,0903,You need help?,0904,,,,,
0902,Messenger,Hey no I hate running. I would never run. Now if you have something important...,Can I give you something?,0903,You need my help?,0904,,,,,,,
0903,Messenger,Then give it.,Choose Item,0905,,,,,,,DROPDOWN_INVENTORY,Message Paper-0905;Fish-0907;Other-0913,
0904,Messenger,Well... I lost - let me count - three messages went lost when I was at the bridge's Castle side end. I dropped them. If you could bring those back I'd be happy.,Okay I'll do,0906,,,,,,,NEXT_SCAN;START_QUEST,Lost Messages,
0905,Messenger,Oh thank you!!! In return I can tell you the first part of the password.,OK,0911,,,,,,,REMOVE_ITEM,Message Paper,
0906,Messenger,Do you have those letters?,Yes,0908,No,0909,,,,,,,
0907,Messenger,Ooh the Fisherman sent me these fish? Nice. In return I'll tell you: if you ever find strange words on paper you should use a decoder powder which is just a gray powder. Now I gotta go.,Bye,0910,,,,,,,NEXT_SCAN;REMOVE_ITEM;COMPLETE_QUEST,Fish;Give Fish to Messenger,
0908,Messenger,Please give them to me. I really need them.,OK,0903,,,,,,,COMPLETE_QUEST,Lost Messages,
0909,Messenger,Then why did you come back? I'm in hurry. Only come back when you have those letters.,Ok,0906,,,,,,,NEXT_SCAN,,
0910,Messenger,Hello do you want to help me in something?,No,0910,Yes,0904,I wanna give you something,0903,,,NEXT_SCAN,,
0911,Messenger,"The first part of the password is ""Apple"", now I gotta go!",Thx,0912,,,,,,,NEXT_SCAN,,
0912,Messenger,You can't see the messenger.,OK,0912,,,,,,,NEXT_SCAN,,
0913,Messenger,That is not what I need.,OK,0906,,,,,,,NEXT_SCAN,,
1001,Warrior,"Hello! If you wanna get inside, you have to know the password!","Okay, bye",1001,"I don't know, but I show you something",1002,I know,1003,,,NEXT_SCAN,,
1002,Warrior,Look at this.,Sword of Koji,1005,Magic Branch,1005,Other,1004,,,,,
1003,Warrior,Then what is it?,Choose First Part,1006,,,,,,,DROPDOWN_CHOICE,Apple-1006;Orange-1008;Plum-1008;Pear-1008;Peach-1008,
1004,Warrior,No you can't get inside with that.,OK,1001,,,,,,,NEXT_SCAN,,
1005,Warrior,Ha you wanna fight?,No bye,1001,I wanna give it to you,1004,Yes,1009,,,NEXT_SCAN,,
1006,Warrior,Choose the second part.,Choose Second Part,1007,,,,,,,PASSWORD_INPUT,Pie-1006;Juice-1008;Tree-1008;Flavour-1008;Fruit-1008,
1007,Warrior,Well... that's correct! You may go in.,YAY,1011,,,,,,,OPEN_CASTLE,,
1008,Warrior,Well... that's incorrect. You must stay out!,Okay,1001,,,,,,,NEXT_SCAN,,
1009,Warrior,Let's go!! Nothing happens. A dinosaur jumps out of your hand and two strikes it defeats the guard.,May I go in?,1007,,,,,,,,,
1010,Warrior,"You swing it. Little rainbow sparkles, but nothing else.",Bye,1001,Ha ha ha ha ha ha ha ha...,1010,I wanna give it to you,1004,,,NEXT_SCAN,,
1011,Warrior,You won!,OK,TITLE_SCREEN,,,,,,,,,
